VisitorCheckInAndBadges,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidents,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents,SchoolSecurity,SchoolProceduresRules,SchoolPreventionProgram,SchoolMentalHealthServices,SchoolTrainingProgram
1,0,1,2,5,4,4,4,4,5,4,4,5,1,5,10,90,75,3,3,3,96,4,24,28,11,0,0,2,8,0,0,2,0,1,0,2,0,1,2,3,4,3,8,3,10,0,9
1,0,1,2,4,3,4,3,4,4,4,1,5,10,10,50,25,35,6,4,3,90,13,19,32,7,0,0,13,7,1,1,5,0,1,7,0,1,0,2,3,4,4,10,3,6,0,4
1,0,2,2,4,3,4,5,4,5,4,4,5,1,15,10,45,85,6,3,3,89,11,35,46,0,2,0,0,20,0,0,0,1,0,10,0,1,12,2,3,4,3,10,6,6,2,7
1,0,2,2,4,4,5,4,4,5,4,4,5,3,13,15,85,85,8,3,3,98,25,18,43,10,1,1,5,12,4,0,6,4,0,15,0,1,6,2,3,4,3,12,2,11,0,9
1,0,3,2,4,4,4,3,4,4,4,5,5,2,30,1,80,90,4,3,3,96,26,66,92,66,6,6,0,16,16,0,12,4,1,6,4,5,0,2,3,4,4,7,4,9,0,4
1,0,4,2,4,4,4,5,4,5,4,4,5,1,8,4,90,92,5,4,3,96,23,39,62,26,0,0,0,13,0,2,15,2,0,1,3,4,4,2,3,4,3,10,6,10,0,6
1,0,2,2,4,4,4,4,4,5,4,4,5,1,10,85,65,65,6,4,3,92,27,33,60,1,0,0,0,14,0,0,14,0,2,8,5,6,0,2,3,4,3,8,3,11,1,6
1,0,2,2,4,3,3,2,4,2,4,2,4,15,10,15,60,80,6,2,2,93,31,27,58,9,0,0,2,13,0,0,6,0,4,25,0,6,0,2,3,4,4,10,4,8,0,2
1,0,3,2,4,4,4,3,4,4,4,2,5,24,15,10,60,70,6,2,2,93,53,117,170,66,2,2,0,52,16,0,17,4,0,20,12,5,2,2,3,4,4,8,3,10,0,9
1,0,2,2,4,3,4,4,4,4,4,4,4,1,14,20,47,70,6,3,3,97,21,77,98,55,0,0,7,35,13,0,2,5,3,10,4,4,4,2,3,4,4,11,4,12,1,10
1,0,1,2,5,4,5,4,5,4,5,4,4,8,10,10,94,75,6,3,3,98,5,8,13,8,1,1,0,1,1,0,0,0,0,4,1,3,0,2,3,4,3,10,4,15,2,10
